English,Nyishi
Wife sister’s,Ywqm
Husband’s brother,Lyo/yo
Sister-in-law/brother/son’s wife,Nyeexw
Mother’s sister son,Hwnyi
Mother’s sister daughter,Looi
Wife,Nywxw
Husband,Nyol
today,Soolo aal
tomorrow,Aaram aal
3rd day,Roolo aal
Hi ,vw
Run!,Xart
Wow!,wne kwla!
Fire!,wum
Help!,svka
Stop!,boturnam
Wait!,kayat
Go on ,nyidul dwt
Hello!,hallo
I ran ,ngo xart
I see ,ngo katan
I save ,ngo ywwlin pa
I try ,ngo nyikash
I won!,ngo mwya pak
Smile ,nyirnum
Cheers!,hamvp
Freeze!,cwye dwt
Got it?,hwpaq
He ran ,mwwe xart
Hop in ,hato
Hug me ,cwgav toh
I fell ,ngo ywgiq pa
I know ,ngo cingpa
I lied ,ngo wm pa
I lost ,ngo nyimpa
I paid ,ngo jipa kun
I sang ,ngo gaan bepan
I swim ,ngo iss japa
I'm OK ,ngo al pa
I'm up ,ngo gorub pakun
No way!,lamata doma
Really?,hevjagye
Thanks ,paqyalinco
Try it ,nyica to
We won ,nyul mwya paku
Why me?,ngam jaq hogum
Ask Tom ,tom nen txto
Awesome!,kwla
Be cool ,hanglen mabwe
Be nice ,alev nyito
Beat it ,Jwto ham
Call me ,ngam gogto
Come in ,hato wurab
Come on ,hato sob
Get Tom ,tom nen natuto
Get out!,lengnuk soge
Go away!,ado wnek
Go home ,naam wnik
Goodbye!,aleb wnik
Hang on!,nwtul doyat
He came ,mwwe hapan
He runs ,mwwe xarpa
Help me ,svka deb ngam
Help us ,svka deb ngulam
"Hi, Tom ",Tom meh
Hit Tom ,tom nen jwto
Hold on ,notu doyat toh
Hug Tom ,tom nen cwgab to
I agree ,ngo nog benam lopa
I cried ,ngo xabnum
I snore ,ngo yubxar den
I'll go ,ngo wtayin
I'm fat ,ngo dwrt pa
I'm hit!,ngam jwpa
I'm new ,ngo nyite
I'm old ,ngo kwcuk nge
I'm sad ,ngo mwwdwq pa
I'm shy ,ngo hvnywpa
I'm wet ,ngo jwja paku
It's OK ,al sumab
Kiss me ,ngam moopup toh
Lock it ,mwtum toh
Perfect!,alja pa
See you ,nam kapa du
Show me ,katam toh ngam
Shut up!,wcb doto
So long ,wyu jaq paku
Stop it ,mwtum toh ham
Tom ate ,tom depaq
Tom ran ,tom xarpaku
Tom won ,tom mwya paku
Wait up ,kayat hoh
We lost ,ngule nyim paku
Welcome ,aleb hato
Who ate?,hwye depan
Who ran?,hwye xarpa
You run ,no xarpa
You won ,no mwye paku
Am I fat?,ngo dwrt paye
Ask them ,bulam tato
Back off ,kokw yab wto
Be a man ,nyega heb nyito
Be brave ,hakam toh
Be brief ,alev jaq betum toh
Call Tom ,tom nen gogto
Can I go?,ngam wynikure
Cheer up!,benger jiqto
Cool off!,mwtum to
Cuff him ,alaq kam ywgto
Don't go ,wmab bw
Find Tom ,tom nen kapa taa
Fix this ,aleb mwto
Get away!,awleq to
Get down ,doto
Get lost!,wnuk
Get real!,jaqtw ngam beto
Go ahead ,wcho to
Grab Tom ,tom nen notuto
Grab him ,mwwm notu to
Have fun ,swmin to
He spoke ,mwwe gopa
He tries ,mwwe nyikapa
Help Tom ,tom nen svka toh
How cute!,anyia jaqpa
How deep?,hwdgo wura pa
How nice!,hwdgo alpa
Humor me ,ngam binyir pa
Hurry up ,nyibabe
I am fat ,ngo dortpa
I can go ,ngo wngta yekun
I did it ,ngo nyipa ham
I get by ,ngo wngpeqpa
I got it ,ngo napaku
I helped ,ngo svka paku
I jumped ,ngo juqpoq pa
I refuse ,ngo ma kehepa
I resign ,ngo wpaq pakun
I shaved ,ngo rekaqpaku
I smiled ,ngo nyirpa
I stayed ,ngo dwpa
I use it ,ngo nyinpa ham
I waited ,ngo kayal dopan
I yawned ,ngo gamsa pa
I'll try ,ngo nyika taikun
I'm back ,ngo hakur pakun
I'm bald ,ngo dumleq pa
I'm busy ,ngo nginge den
I'm fair ,ngo puulu den
I'm fine ,ngo alpa
I'm free ,ngo rese domapa
I'm full ,ngo dwde paku
I'm game ,ngo swnam meh
I'm good ,ngo alpa
I'm here ,ngo si dopan
I'm home ,ngo naam si
I'm late ,ngo wngc nyokma
I'm lost ,ngo gaxar paku
I'm mean ,ngog betanam ngv
I'm next ,ngo hoge
I'm okay ,ngo alesupa
I'm rich ,ngo nyit pa
I'm safe ,ngo aleb dopa
I'm sick ,ngo vc pa
I'm tall ,ngo awo pa
I'm thin ,ngo drcngpa
I'm tidy ,ngo dvrwqb pa
I'm ugly ,ngo kach pa
I'm weak ,ngo laanyi mapa
I'm well ,ngo alpa
It helps ,si svka pa
It hurts ,si vc pa
It works ,si bwnyido
It's Tom ,si tom
It's his ,si mwwg
It's hot ,si wgpa
It's new ,si nit nge
It's sad ,si mwgdw go
Keep out!,log alo aap ta
Kiss Tom ,tom nen moopup to
Leave us ,ngulam wpaq teb
Let's go!,kuj wnkuj
Look out!,logov kato
Marry me ,ngam nyim nato
May I go?,ngam wnkuye
Save Tom ,tom nen svka toh
She came ,mwwe hapan
She lied ,mwwe mwwpa kun
She runs ,mwwe xarpa ku
Sit down!,dowat toh
Stand up!,daqrab toh
Stop Tom ,tom nen apaq to
Take Tom ,tom nen nato
Tell Tom ,tom nen betum toh
Terrific!,vc loodab koi pa
They won ,bulav mwya paku
Tom came ,bulv hapa kun
Tom died ,tom sipakun
Tom fell ,tom ywgekpaku
Tom knew ,tom cingpa ku
Tom left ,tom wpaku
Tom lied ,tom wmemwpa
Tom lies ,tom wmemwen bonge
Tom lost ,tom nyipa
Tom paid ,tom jipakun
Tom quit ,tom ywha pa
Tom swam ,tom iss japa
Tom wept ,tom kappa
Tom's up ,tom gorob paku
Too late ,ngo wc nokma
Trust me ,ngam twjito
Try hard ,aleb nyito
Use this ,sam nyin toh
Warn Tom ,tom nen belum toh
Watch me ,ngam kato
Watch us ,ngulam kato
We agree ,ngule lopa nag benam mam
We tried ,ngule nyikapa
We'll go ,ngule wta yekun
We're OK ,ngule al pa
What for?,hoggab
What fun!,hog sonam
Who am I?,ngo hiye
Who came?,hiye hapa
Who died?,hiye sipa
Who fell?,hiye yoqlpa
Who quit?,hiye apaqpa
Who swam?,hiye iss japan
Who's he?,aw hiye
Write me ,ngam lek mwwto
You lost ,no maya kuma
Aim  Fire!,ngo wm nge
Am I late?,ngo wc kuma
Answer me ,ngam bereq to
Birds fly ,pvta nge jrpa
Bless you ,nam svka nwka
Call home!,nam call mwto
Calm down ,wcb doto
Can I eat?,ngo dwng tanre
Can we go?,ngul wng tan re
Chill out ,hwye ko alo gaga deb
Come back ,hakur twku
Come here ,sob hato
Come home ,naam hataku
Come over!,alob hato
Come soon ,nyimab hato
Cool down ,hanglen mabwe
Did I win?,ngo mwye pakye
Do it now ,sigada nyito
Dogs bark ,ik kog num
Don't ask ,tamabab
Don't cry ,kamabab
Don't die ,simabab
Don't lie ,wmemab
Don't run ,xarlmab
Excuse me ,ngam wco mwwto
Fantastic!,vc jab alpa
Feel this ,sam mwwto
Follow me ,ngam wmin gwto
Forget it!,ham mwwleq tuku
Go for it ,ham nyit to
Go get it ,alam nata
Go inside ,wrb hato
Go to bed ,yubtak
Hands off ,alaq kam wrab to
Have some ,mwckgo nato
He is ill ,mwwe vc pa
He is old ,mwwe nyikam paku
He smiled ,mwwe nyirpa
He's a DJ ,mwwe nos sog bonge
He's fast ,mwwe nyibab ja nyido
He's good ,mwwe alpa
He's lazy ,mwwe jamma do
He's rich ,mwwe nyitpa
Here I am ,ngo si dopan
Here's $5 ,si ang pa
Hold fire ,wbya mabw
Hold this ,sam nwtuto
How awful!,hedgo bospa
How is it?,si hohub nyipa
How weird!,hedgo kaac tayapa
Humor Tom ,binyir bemarbo tom
I am busy ,ngo nyinge pa
I am fine ,ngo alpa
I am here ,ngo si dopan
I am okay ,ngo alpa
I am sure ,ngo mwum ma
I am tall ,ngo awwpa
I am weak ,ngo laanyi mapa
I am well ,ngo alpa
I can fly ,ngo xarl den
I can run ,ngo xarlg den
I can win ,ngo maya nyio tan
I cheated ,ngo wwmpa
I fainted ,ngo ga cingskumanum
I fear so ,ngo bos pa
I gave up ,ngo yoha pakun
I get you ,nam ngo notupaku
I giggled ,ngo nyirp nyirmapa
I give in ,ngo jipa
I got mad ,ngo dumpo alma
I had fun ,ngo somin soya pa
I hit Tom ,ngo tom nen jwtaq pa
I hope so ,heb nyia nyiloq kam
I hung up ,ngo twhum kunam
I knew it ,ngo cingpa
I laughed ,ngo nyirpa
I like it ,ngo kabw pa
I lost it ,ngo nyim paku
I love it ,ngo anyia kabw pa
I made it ,ngo mwwpa sam
I may win ,ngo maya deb ka nyipa
I mean it!,ngo betw nge
I met Tom ,ngo tom nen kapa pa
I met him ,ngo mwwm kapa pa
I miss it ,ngo wleq kopa
I promise ,ngo birden
I said no ,ngo bepa ma hel
I saw Tom ,ngo tom nen kapa pa
I saw him ,ngo mwwm kapa pa
I saw one ,ngoak kapa pa
I saw you ,ngo nam kapapa
I see Tom ,ngo tom nen kapa pa
I took it ,ngo napaku
I want it ,ngo abw pa sam
I was new ,ngo ho nit pa
I was shy ,ngo hyniew pa
I will go ,ngowtayin
I woke up ,ngo gorub pakun
I'd do it ,ngo ham nyita yin
I'd leave ,ngo wdekun
I'll call ,ngo gogtayin
I'll come ,ngo hatayin
I'll cook ,ngo wcn mwwpa
I'll help ,ngo svka tayin
I'll live ,ngo swtayin
I'll obey ,ngo benam tatayin
I'll quit ,ngo yoha taikun
I'll sing ,ngo bemin betayin
I'll stay ,ngo dotayin
I'll stop ,ngo mwturtayin
I'll talk ,ngo betayin
I'll wait ,ngo kaya tayin
I'll walk ,ngo wtayin
I'm a man ,ngo nyega nge
I'm angry ,ngo hang lenpa
I'm awake ,ngo gwrub paku
I'm blind ,ngo kapa mwn bonge
I'm bored ,ngo dosum-doyab paku
I'm boss ,ngo mwlengam koiyan bonge
I'm broke ,ngalab hoggokam dokma
I'm broke ,ngo gwqpaku
I'm cured ,ngam vc nge al paku
I'm drunk ,ngo wpo twpaku
I'm dying ,ngo sil dodkune
I'm early ,ngo hacopa
I'm first ,ngo wtcob hapa
I'm first ,ngo wcopa
I'm going ,ngo wdekun
I'm happy ,ngo hemp
I'm lying ,ngo karldodo
I'm needy ,ngo nyindeb nyipa
I'm ready!,ngo mwc-mwa paku
I'm right ,ngo betw pa
I'm sober ,ngo twwko twwlopa
I'm sorry ,ngam wpaq jetkum
I'm stuck ,ngo cwbtupaku
I'm tired ,ngo ngaapa ku
I'm tough ,ngo bengw bonge
I'm upset ,ngo hang nge alma
I'm yours ,ngo nonge
I've lost ,ngo nyipa ku
Ignore it ,kapa man heb nyito
Is Tom OK?,tom al paye
Is Tom in?,tom hapaku kuye
Is he Tom?,alow tom ye
Is it bad?,si alma
Is it far?,si adopa
Is it hot?,si ogpa
Is it new?,si nit nge
It burned ,si gupaku
It snowed ,si tapam pa
It worked ,si bwnyido
It's 3:30 ,oum gola camum
It's 7:45 ,kvn gola camum
It's 7:45 ,kvn gola campy ang
It's 8:30 ,piin gola camum
It's 9:15 ,kiya gola camlegang
It's 9:18 ,kiya gola camlegpiin
It's a TV ,si Tv go
It's cold ,si hvywq pa
It's cool ,si kangam jaqpa
It's dark ,si kanpa
It's easy ,si nyila pa
It's fair ,si jvqtwpa
It's free ,si swrso
It's hard ,si nying namgo
It's here ,sidopa
It's late ,si dugubpaku
It's mine ,si ngoge
It's many ,si naleqja dopa
It's must ,sam ja nyidev nyipa
It's okay ,si alpa
It's open ,si mwkopa
It's ours ,si ngulge
It's sand ,si xuqxy go
It's true ,si benjiq do
It's work ,si bon nyido
It's not work ,si bon nyimado
Jump down ,hativ juqpoq to
Keep away ,adob apto
Keep back ,kokw alpwto
Keep cool ,wcv doto
Keep that ,ham apto
Keep them ,bulav apto
Keep warm ,agdeb apto
Leave Tom ,pamda sam upaq to
Leave now ,sigada upaqto
Leave tommorow ,awram wto
Let it be ,heb domto
Let it be done ,sam nyiyum dob nyipa
Let me be ,ngam heb nyim teb
Let me go!,ngam wm teb
Let me in ,ngam wrab ham teb
Let us go ,ngulam wm tukub
Let's eat ,kuj dwtuj
Let's see ,kaka tuj
Let's try!,nyika tuj
Lie still ,karp tel doyato
Listen up ,taya to
Look back!,kokwb kakur to
Look here ,sob kato
Loosen it ,takoto ham
Loosen up ,anyio go takoto
Move over ,alob wto
Nice shot!,aljab wbnba
Of course!,vvl jaqgdv
Please go ,ngo wnuk
Put it on ,ham gwto
Read this ,sam poorito
Say  aah  ,ahh hel bengto
Say hello ,hello hel bengto
See below ,hatw hokato
Seize him!,mwwam naxato
Seriously?,bengtw jaqkere
She cried ,mwwe kabpa
She tried ,mwwe nyikapa
She walks ,mwwe wwpa
Sign here ,so sign mwto
Sit still ,wcb doto
Start now ,seja nyirabto
Stay away ,adob doto
Stay back ,kokw alo dwto
Stay calm ,wcb doto
Stay cool ,hanglen mabwe
Stay down ,akoho dwto
Stay thin ,ponyio del doto
Step back ,kokw ho doto
Stop here ,so daqyato
Stop that!,ham mwtur to
Stop them ,bulavwmab
Take care!,aleb wnku
Take mine ,ngogam nato
Take over ,nyianam
Take this ,sam nato
Thank you ,paqyalinco
That's OK ,hw alepa
That's it ,hwpa
That's me ,hw ngola
That's mine ,hw ngog gv
Then what?,sija hogv
They fell ,bulv yuqlpa
They lied ,bulev vmpa
They lost ,bulv nyipaku
They lost them ,bulv bulam nyimpaku
They swam ,bulv jaapaku
Time's up ,nyidw hwpaku
Tom bowed ,tom dumpo ngam pwxy pa
Tom cried ,tom kappa
Tom dozed ,tom yubtapa
Tom drove ,tom gari pwrlayil wnkun
Tom froze ,tom tapamb swpaku
Tom is OK ,tom alpa
Tom is in ,tom hapaku
Tom is up ,tom gwrob paku
Tom knits ,tom hampa
Tom knows ,tom cingpa ku
Tom moved ,tom wpaku
Tom slept ,tom yubpaku
Tom spoke ,ton gwpa
Tom swims ,tom iss japa
Tom tries ,tom nyikapa
Tom voted ,tom mww vote nwpa
Tom walks ,tom wpaku
Tom waved ,tom alaqke hoqyabpa
Tom works ,tom bon nyido
Tom'll go ,tom wtayin
Tom's fat ,tom dortpa
Tom's mad ,tom hanglinpa
Tom's sad ,tom mwwdwpa
Tom's shy ,tom hengipa
Trust Tom ,tom nen twjwto
Try again ,hwrav nyikato
Try it on ,nyikal dodw to
Watch Tom ,tom nene kaya to
We agreed ,ngule birpa
We saw it ,ngule kapa
We saw ithem ,ngule bulam kapa
We talked ,ngule gomin supa
We waited ,ngule kayapa
We'll see ,ngulev katayin
We're hot ,ngule wgpa
We're sad ,ngule mwwdw pa
We're shy ,ngule henyipa
We've won!,ngule mwyapaku
What else?,hoge hogge
What's on?,hoge nyinyiado
What's up?,hoge pa
What's up on there?,hoge tolo dopa
Who cares?,heye hanggab ma
Who spoke?,heye benam
Who stood?,heye darub num
Who'll go?,heye wtan
Wonderful!,vc jab anyia pa
Write Tom ,tom nen heqto
You drive ,no wgto
You idiot!,no paca lodapa
You start ,nonyirabto
You stink ,no norpa
You tried ,no nyikato
You're OK ,no alpa
Aim higher ,ngo koi yapa
All aboard!,mwle nge cawpaku
Am I dying?,ngo siduku
Am I early?,ngo hacopakyv?
Am I fired?,ngam mwlinpakun rw
Am I hired?,ngam napakun
Am I right?,ngo bengjiqpa ew
Am I blin?,ngo nyigca pan ye
Am I going right?,ngo wngjiq pare
Am I wrong?,ngo bengxa paye
Am I doing wrong?,ngo nyixa dwye
Answer Tom ,tom nen berwto
Are you 18?,no camleqpiin pa
Are you OK?,no alpa
Are you in?,no hapakun
Are you up?,no gwrub pakun
Ask anyone ,hwyenyikam tato
Ask around ,tagaqto
Be careful ,henggavto
Be patient ,cwqto
Be serious ,sig dorgv kurumto
Birds sing ,pvta gaan
Bring wine ,wpo nata
Can I come?,ngo hatayin
Can I help?,ngo svka tan
Can I help you?,ngo nam svka tan
Can I stay?,ngo dwng tayinre
Carry this ,sam bwto
Check that ,alo kaka ta
Check that one ,alo alam kakata
Check this ,sam kakato
Choose one ,akin hwqto
Come again ,lokda hato
Come again tommorow ,lokda aram hata
Come again today ,sol lokda hata
Come alone ,wpb hata
Come along ,Lekin gob hato 
Come early ,comcib hata
Come on in ,wreb hato
Come to me ,nog dokub hato
Come to us ,ngule dokub hato
Definitely!,kvxaqram
Did Tom go?,tom wn kunye
Do come in ,hato wrab
Do come out ,vgeb wto
Do come yesterday ,aram hata
Do men cry?,nyega ngekam habdenye
Don't brag ,larmabw
Don't come ,wrab hamabe
Don't come here ,sob hamabe
Don't come there ,alob hamabw
Don't jump!,puqrab mabw
Don't look ,kamabw
Don't move ,bemabw
Don't move now ,swga bemabw
Don't peek ,kacoq mabw
Don't push ,duma bw
Don't sing ,bengmeng mabew
