English,Tagin
That is why we believe that the water the mountains the stones the forests and everything are formed due to some divine power and we worship them,Ho lvga ngunu issi moodw vsing-vlwng ichi-amin jeeka mvnwng-mvnwgn nga uyu atu gu doola yarlin pvnv mwngla kumdo
Destroy this temple,naamlo sim andup-anyap to
Takar needs to update his website,Takar atu gv websait vm apdet mvdu bv chinchi do
you did it intentionally then why are you angry,no rijin bv risu tvla hugu bv rokdu nv
you were writing a letter!,no siti lvkdv moola!
give space,hwwye toh
come from that side which is better,olo yaabv chaato
you have to come back,no aakor laku ka
Elder brother,auu
Can you ride a bike?,no baik joklak do?
Are you still upset?,no hvjak gobv haachibww pvnv ri?
Both Takar and I work,Takar la ngunyi kaam rido
I'll stop,ngo mvngin re
Don't tell your dad,nokv abu nyi mintam yo
Bring me my glasses,ngom ngo gv nyilo-kargo vm bvji to
don't frighten the bird by talking laud,pvta nga raalam mabv ki
by wearing the ladies basket,naari-ginchi vm gvto kula
He's a DJ,bww DJ na
fell into water,issi lo hoopia ro
inserting a stick inside the burial hole to release the gase inside,byu saalwk nam
biting again,gamdv du
Everybody likes Takar,nyi mwlww Takar nyi kaagia do
Do you like my red hair?,no ngo gv domlwng vm kaagia do?
You're incompetent,no chvrv-sopa ma
Do you want to sing?,no gaana gaanww do?
How cute!,kaangam v!
The Work of John the Baptist for the People of Galilee (3:1-12),Yalu gv lvgabv Jon Baptist gv ridungripa rinam (3:1-12)
Everybody was tired,nyi gwdw agar-ayar pa
Do you like oranges?,no naarw dvgia do?
archaic,kulu gv nyitin
Do you like writing?,no lwknam lwkgia do?
you are the one I chanted for,no ngokv yuutv bardung nv
the wine is tastless,oppa si abi-ala kama
the ladder is fixed at right place,kooba si baajik do
Go jump in the lake,selv lo poglwk te
I have never washed cloth,ngo iji paaka ma
He accepted my idea,v ngo gv mwwgam vm gakrwk ro
mother is cooking food,anv achin mvdu
house is covered with mud by landslide,naam ha rachik jakchin ro
I'm here,ngo so doopv
He came,bww aato
Takar returned very late at night,Takar ayu lvpa lo naam akur pvku
do not spit here,soka tachor chorma
This uyu nyetam is now known as the svchi nyido kambv bvngnam,So Uyu nyetam tamnam so Svchi Nyido kambv bvngnam gubv mindo
Bundle the sticks into five each,Seeda so daangu-daangu gubv puchi to
apply,pyagnam
"After greeting the churches in Rome and proclaiming his prayers for them, Paul wrote in a letter to them, “To show you the faithfulness of God’s people from the beginning until the end.","Rom gv gvrja nyi vdwa kumrwksinam kokwng loku okv hv bunugv lvgabv ninyigv kumji nama bunu vdwa mindung la, Paul siti gv atukalv nga um siti lo lvkjito: “Gamlv ngv Pwknvyarnv gvlo oguaingbv nyi vdwv tarwkbak jvbv atuake lokv ataranya gobv mvngjwng la doosvdaksv vdw: um kaatam nama lvkjito”."
Come over!,olo bv aato
cut down the remaining branch again,seenv kioktung nga kiokdv tvki
whether you make me upside-down ,paakup-paalik mvda kam
A tiger is an animal,paatv ngv semin ngv
corn is maturing inside,radv arw lo dambum puku
Do not block the view,ngom kaachik maabv ki
not seen,kaama
It helps,si mvdor do
Moral: We all have the strength to be the one we wish to be,alv nv gaam: ngunu mvlww gv ara lo ator dodo ngunu hugu ka ridvbv mwwbolo ngunu rire
Don't ever doubt it,vm lvku ka himok yo de
Everybody's talking,nyi mwlww ngv jabdo
You're very lonely,no achvlv bv ajin kama do
This is what the Scriptures say: These are the words of the one who spoke these things to Jesus and who cleansed them.,"Kitap si atuv minsudo, so Gamlv sam vkvlvgabv lvkpvnv sum puririnv vdwv Jisunyi milvvnam Ringnv gubv,"
I don't know how to throw cricket ball,Ngo cricket ball harchin ma
Death is inevitable,sinam vh bardum ngv
you have eaten yaro's food,no yaro gv achina dvji do
I want to play cricket,ngo cricket linww do
fifth day,angu jinv alo
young mithun,sepa
money is sufficient,morko ngv chido
Taro puzzled and looked at his grandma and said,Taro hindar kuma bv ayo nyi katvla hvto
This rope is very long,so oso songv si achlvv aaso do
the stick in broken by leg,seeda nga lvpa ngv lvtar ro
spreading of rumorse,supu pudu
Could you sign this?,no sim saain mvla re?
I waited,ngo kaaria pa
I'm fat,ngo abv do
cry around,kabkar
then I will become your melody,ngo rire nokv tvpu bv
lets do,mvla ju
I'm shy,ngo hanying do
armory,hidu apv kongv
the dog will surely bite,ikki hv gamje re
Has Takar arrived yet?,Takar hvjak aapvku nv bvre?
You are too big and heavy,no achvlv bv kai okv vi do 
the spiritual form of the earth 'Sii' was created by Doring-Chijing and Chvngrvng-chijing by a stick like stone boulder ,Doring-chijing la Chvngrvng-chijing bunyi 'Sii' vm svching gv Daaching Lwwpwng bv yarpv pvku nv
Do you know the way?,no lamda vm chinpv nv ri?
Israel is God’s creation (9:1-11:36),Israel v Pwknvyarnv gv rungnampanamv (9:1—11:36)
killing mithun,subu minnam
I've lost,ngo ngepv ku
I came to burry a death body,ngo seema ribv aado
Ask Takar,Takar nyi tvka to
Let Tapo to eat sufficiently,Tapo nyi beedu bv dvmu tho
give me five hand span of rope,ngom osso gapngu go jito
she was very proud of her beautiful looks,nw mobar-pala pvkv hvla achvlv bv tvngor pa
elder sister,anye
tara is yapa's husband,tara yapa gv nyilo
give one leaf,oku abor gu jito
whether you punch and deform me,tukup-tulik mvda kam
blessings of ancestor,Abu apa gv kicha jinam
I am waiting for you,ngo nam tuuria dunv kv
Talum try to move yourself,Talum no bikato
I will sleep for two night,ngo nyubnyi gu nyubre
you punched this,sim no kwdup pa
I eat food with my right hand,Nog lakbik lokv achin dvdo
tara was coming at the last moment,tara ami-jeema bv aari bo
Takar donot go to school by bus,Takar baas lokv iskul vvma do
Follow me,ngo kokw aato
any one of you give speech,aku nv agam japto
I'm angry,ngo haachi pa
Does she play piano?,bww piano lichin do?
let me try playing football,ngo putbol rika la ju
The wise man smiled and said,nyikki nv nyi nyorsi la hvpa
you don't be sarcastic with me,no nga miyv ma
this cloth is not good,iji si asar ma
I am taking bath,ngo ayak bamsu dun
don't arguw with each other,nonyi agam nwkdar minsu ma
The si-donyi is named after the combination of the words Sii which is the earth and donyi which is the sun,Si-Donyi si Sii gvla Donyi bunyi gv amin anyi lokv mvdum sula lindo
He does not walk fast,hv ayom vngma do
Have a good weekend,alv nv hapta doogv tv ka
You're the expert,no pvbww nv go
I play in snow,ngo snow lo rimen do
apiece,nyichar bv
I like eating pizza,Ngo pizza dvdvbv alv mwdo
Everyone was killed,nyi mwnww ngvm mvki ro
I'm broke,ngo gv morko kama
heating the body in sun light,ayak ka donyi lo pamdo
your food is not satisfying,no gv achin si sakchi ma
Takar is losing,Takar yaama do
father is cooking food,ab achin mvdu
you come first,no aacho toh 
Law minister,vbanam ministvr
Takar is my dad,Takar ngo gv abo
dont let me become useless,ngam bormv jila
Hold this,sim bvvto
tie with a stone,vlw pugu hvvchin tho
my father is also doing work,ngo ab ka kaam rido
close the door,popum olo chiktum tho
I cried,ngo kabpaa
Everybody likes her,nyi mwlw vm kaagia do
He is a good singer,v alv bv gaana ganv nyi rido
you only cannot eat,no jeesi dvnyu ram
Don't speak so fast,ayom bv agam jabma bv ka
I have expeperience of buying cloth,ngo iji rvvngo do
I have found a child she is here,Hvmi nvgv so dopvnv kv
Taro was immediately consoled and promised himself that he would do better,Taro nyiba bv mwwchin tvla selu lokv alv bv seecha re hvla nw vm minto
He hates air travel,bww dorri mooyii lo vvgia mado
water falls down,isi hv choolu do
give one mithun to each,subu asak gu jito
Textile & industry minister,iji ministvr
eagle hovers around,kiokam hv tamkar do
approximate,gubv hvnam
we are children,kuu ngunu
don't cause injury to tara,tara nyi uun mvgv jila
I like dogs,Ngo ikki ha mvngya do
You're replaceable,no aku-av pa
I was standing whole night,seeyu ngo dakyin la
like a man,nyii gubv
A lone elephant wandered the forest looking for friends,svtv aku mootum lo ajin meekar bv ngokar to 
arousal,mvdok
I have numerous tiny bumps or pimples appeared on my skin,ngo apin si achar-achar charlin do
Takar looks like he's unimpressed,Takar regv ma gvri bv kaado
Tiger only eats meat,abvng-apa ngv adin dvmwng do
Everybody's talking,nyi mwnww ngv jabdo
this is chilly,si ha do
stone is heavy,vlw si ai do
PHE minister,PHE ministvr
Is it bad?,si alvma pvnv ri?
I am tying a mithun in different location,Ngo subu takkar dunv kv
Everyone is singing,nyi mwnww ngv gaana gaado
Can we count on you?,ngulu nom mwwgii la re?
You ruined my life,no nogv tvrww vm mvdar ro
I will come to your home to stay,ngo no Naam lo doobv aare
I hear the rain,ngo nyido vm tvpa do
my sister is also doing work,ngo anyi ka kaam rido
Can I go?,ngo vvku dvbv i?
Still you are beautiful,hvbv ritv la no kaapu do
these two banana are fused,kopak peenyi si apiam do
He is also a teacher of God’s kingdom.,Okv Pwknvyarnv gv Karv gv lvkwng ngaka tamsar lanv gubv kaatamdu.
Oh Lord Krishna I am your devotee,Oh Dvbv Krishna ngo nokv kumnv boongv
I have told you twice,Nam ngo lvnyi bv minpa do
always don't run,jokdv mabv
I got it,ngo vm chinpv
give me an small amount of money,ngam morko barchi gu jito
tanya was talking yesterday,tanya meeru agam raadww
Takar rolled up his shirt sleeves,Takar atu gv lakpo vm tiddu pa
who is that? ,hvye bvre?
don't repeat the topic,agam japchin kuma
Black is depressing,yakia ngv mwwdwk do
I am fine,ngo alv su
the cloth is too loose,iji borngv si aar-popar pv
I was not able to call Tara,so tara nyi gokdum yooma
Takar poked the fire with a stick,Takar mvrww vm seeda lokv nikpa
He asked for a beer,bww biar torgu kopa
people gather,nyii pumdo
I get you,nom ngo naatu pvku
giving and taking is good,jinam-naanam alv do
yaro received the money by herself,morko nga yaro naasu ro
He found my bicycle,v ngo gv saikil vm kaapa pa
This is for other people,si nyi kvbi lvga bv
tea is being prepared,saa charlwk do
The first two and the sixth [of the seven] are the sons of the first [descendant].,Aba baanyi (2) okv baakv (6) (Lvkwng gv arwnglo darlinam vnamlo kaatoka).
He abused our trust,bww ngulu gv jeenam vm damnyak ro
tara will surely talk,tara agam raaru re
B. The appointment of Judas's replacement.,Judas gv ritungnga ripwngrinya jikunv.
I'm sober,ngo tvvkum pa
You worry too much,no achvlv bv mwwru do
let's pray to sun's spirit,donyi uyu vm mvla ju
collect more money,morko lo naapwng tho
He's lazy,bww asam mwwram do
I'm new,ngo nyitw takar do
I mean it!,ngo jvjv bv mindo!
I was stitching cloth in dream,ngo seeyu iji hamma la
I lifted your cloth by mistake,no gv iji ha ngo supu pv
one of you come here,ako nv so aato
Here's $5,si na $5
Get Takar,Takar nyi naato
to let him eat food,achin dvmu dubv
If I become like the mountains,ngo moodw gobv ribo lo
You're an optimist,no himbw-hvrwng nv nyi go
You should know it,no sim chimbolo alv re
Don't smoke so much,hintar bv mwkw tvvma bv ka
jump on the stone,vlwng ao lo jappv tho
What's your favorite type of transportation?,nok kv alv yasuk nv gaari hugu la?
don't throw away the walking stick,bwknyi daanga chia ma
He has enough money,v gv morko achvlv bv doodo
There are too many people on the road,Lamda so nyii bilv bv
Can you read French?,no French puri richin do?
I will die for you,no lvvlo ngo sire
appease,maanam
Please hold it for sometimes,achuk go bvria to
eat quickly,Bapu bapu bv dvto
tagiam is my grandfather,tagiam ngo gv atu
Don't come after me,ngo kokww aama bv ka
and the question of marriage.,"okv nyimv nyilo naami sunam gv lvkwng nga tvunam,"
He has a funny name,bww gv mwwnyar nv amin doodo
Don't say that word,hv gamchar vm jabyo
tara and tadu are firing at each other with gun,tara la tadu mabuk apmi sudo
Football is a sport,putbol keli rinam-sunam ngv
be cool,hardv bv
bring the baby here,anga nga so bagha tho
tara read book always,tara puri riki do
And if a person does not prosper in his or her life it is said that the person is being watched by the Nyiriamdonyi,Okv Nyiriamdonyi hv yarbo lo nyii hv nyiposoyo nvgu bv rido
try it(eat),dvka to
Why me?,ngom hugu bv?
Let Takar come here,Takar nyi soka aamu to
Eat your vegetables,nogv oo vm dvto
A. The Story of the Missionaries in Athens (Matthew 13:1—14:28),a. Atuake lo Missionari vngkarnam (13:1—14:28)
Four cows lived in a forest,api gu suv mootum seebam to
let's carry firewood together,ngunu vsii bakbam laju
Takar knows how to play the viola,Takar vaiola ngvm richin do
"I always try to be kind, honest, and helpful to everyone.","Ngo dikibv mwnwng nga alvnv gobv, jvjvnv gobv, hokv mwnwng nga ridurnv gobv rido."
Everybody applauded,nyi mwlww svbok pa
I woke up,ngo guduu ro
I eat cookies,ngo kukis dvdo
Let the birds and the animals live freely in our forest,Bumpi yaming go Taacha kaming go Dungmu laju
slice the cucumber,mvvkung so naabar barto
Is it far?,si addo do?
aquamarine,yagor-yaji nv vlw
you do this,no so rito
Takar likes reading Hermann Hesse,Takar Hermann Hesse gv liknam puri dvbv alv bv mwwdo
Be brave,mwwkam bv rito
applicable,kvrwk nam
try biting the bone,allo poonga cheka tho
sowing seed,wmw paglwk
So why are you always crying about the same problem?,hvkv lvga bv no hugu bv tarin aku lvga bv kabda kabra do?
don't know what's in your heart,murum ara hinka ma
that mountain range,tolo gv dwtak tv 
Don't be ridiculous!,raapar-ramar nv nyi rima bvka
Europe is in crisis,Yuurop hvjak yaalv dodo ku
in order to look after the growth of natural vegetations,nvsing-uji gv garnam v hinggo-hiyar modu kubv
if I become like the moon light,polo gobv ribo lo
I will never let you take me away,nom v nala vvgv koma re
We shall begin now,Ngonu hvjak rirap riku
Did Takar like Boston?,Takar Boston ngvm mwwcham pvnv ri?
read and you will know,puri to no chinre
your voice is clearly audible,no agama tvbww do
He burst into tears,bww nyikla apam dvbv kabrap pa
The first one is the one about whom many people think Jesus is right and who are following him.,"Atung gonv kitaplo ogubv Jisunyi nyi tunggonv vdwv jvjvbv mvngla okv ninyia reming gvnvgubv rikunamv,"
We tried,ngulu mvka pa
give in small quantity,achar-achar gu jito
By Bijoy Nalo and Aayir Dupit,Bijoy Nalo la Aayir Dupit Gaanam
I'm bored,ngo nyubnyi-nyuma pvku
Don't smoke in here,so tvvduu tvvmabv ka
I will go Dapo Later,ngo hookv Dapo chaare
Do you know any jokes?,no soonam sochin do?
Food is running out,achin v mvnya tado
I am washing cloth,ngo iji paado
stitching cloth,iji hamdu
How cute!,kaaken v!
Be brave,nyimin bv rito
throw this firewood,vsing so kumaa tho
cut by pulling out the sword from the cover,oriok twksik la pado
ape,sebi
Give me two minutes,ngom anyi go apo jito
give me that,hong naato
Can you sing a song?,No gaana gachin do?
Can you tell time?,no apo minji kare?
I myself saw him doing it,Nyo atu bongv bv vm ridu bv kaado
Mother's brother,kvtv
Please hold it for sometimes,achuk go bvngria to
You're a smart boy,no nyeba nv yaapa go
I'm broke,ngo gv lo hugu ka dookuma
I can go,ngo vvla do
ignore this thing,so anam tvki
Takar looked like he was finished,Takar nyigsa-gamsa gvri bv kaapa
Don't tell your dad,nogv abu vm minyo
I was flying in the dream,svvyu ngo jarmaa la
not not you for last ten years,nam dvbv nyerii gu kaapa kuma
meat decays,addin hv yaado
But the dampened cotton became very heavy to carry and the donkey suffered,hvbv rinamv seecham pubamv issi lo pamjik tvla vi rito hvbv rila yabin angv vi himpa to
He is a fast runner,v baapu bv joknv nyi rido
stitch this cloth first,iji so hamcho tho
tara did not wait us,tara nguna kaaria ma
Takar ate,Takar dvro
I use it,ngo vm mvnv do
rolling thread into a ball,tanu lumnam
arrest,naanyu
Now the word Poolu is used as Polo,Poolu ham sije Polo gubv mindo ku
for all the discrete deities their respective altars are constructed,Uyu-uyu gv nyugww ngv angu-angu sudu bv mvpv jido
You dance a little,no anyo go daanse rido
The life and the way of Christ Jesus.,"Kristo gvlokv turbwngnam singnam okv Jisu lamtv ngv,"
if you don't know me well,kaachin-kaachin kuma lo
Have some,anyo go naato
I have received money,ngo morko paapv
Are we ready for it?,ngunu ho lvgabv ai pv ri?
This happened because the first edition of the Law of Moses had already been read.,ogulvgavbolo lvkchonam kitap vdwlo sum naala naa nyatoku.
the earth gave birth to the Sii,Sii svching so gv dwrw boknam v
Takar said he was feeling thirsty,Takar isi tvvnwng pvkv hvla hvpa
that much,vv gunv
Eyes help us see things,Anyik ngunu vm kaamu do
month,polo
saliva flows out,tachor yorlin do
I shaved,ngo mwbin pa
Who cut that bamboo?,Hvju v panv hvyv?
I stayed,ngo doopa
another fowl has also died,porok aku nvka siro
money will be kept as due now,morko nga peypv re
the remaining apple of today will be harvested tomorrow,selu gv apple lamngo nga aaru nyi lamre
tara if you are like that we will not come,tara no hvnv nyilo kam ngo aama re
RWD minister,RWD ministvr
You seem very busy,no dumda-tabyar bv kaado
abu you sit in baagu,abu noo baagu lo dooto
I'm rich,ngo nyetv do
own birth place and its water source,gwwda taruu
He is a good doctor,bww alv nv doktor rido
I skip a rope,ngo oso vm apak ro
Autum season,dvka polo
kick faotball with leg,lvpa lokv putbol pato
Who ran?,hvyv jukpa?
water percolate into ground,issi hv kedv arww roblwk do
He tries,bww mvka do
The grass is green,nvsii-nvma yaji do
5th day,angu jinv alo
labor pain starts,huchi chirap du
they wen there long back,adv v kelo chaaro ku
hang the naara,naara so pagyin tho
1st elder sister,anye
You're not like me,no ngo gvri bv ma
standing on it,so daktam toh
Did you drink a lot?,No yaagu bv tvvpv nv ri?
Don't open the lid,atup hv nako ma
log cutting,seepo karnam
punch himself,atu bongv nwksu do
Do you like your nose?,No nogv naw vm kaagia do?
Do you have a favorite shape?,nok kv alv yasuk nv abar hugu do?
Give peace a chance,choyo bv rinam vm rimu jito
Don't open the lid,atok hv nako ma
I got money,ngo morko paado
I'll wait,ngo kaaria re
the patient is starting to eat,nyvyu nvngv achin dvrap ri
stone is falling around,vlw ngv kaakar du
By just looking at you I fell in love,nom ngo kaadv-kaadv la mwwcham paku
He testified that God’s grace was in Christ Jesus before the crucifixion of Jesus Christ by the Jews.,"Hv mintarminya bv mingkunam si Jisu kristonyi Jius vdwgv tulatua namsi baagonv Pwknvyarnv gv mvngnamv mvnwng nyi mvnwng aralo Pwknvyarnv gv anyuaya ngv Jisu kristo ara lokv pwchila laalwk pvnv mvngma bv tulatua nam sum minji laku rito,"
tara and tapor is contemporary,tara la tapor sinpv sudo
Takar reminded me to pay my bills,Takar ngom dornam vm dortv kv hvla mintom pa
I'm hit!,ngom dompa!
Don't run,jukma bv
boxing competition,nwkdar minsu
who is suppose to shoot first,olo apcho jinv hvye
mother kurium's,kurium anv gv
one day you will die,anyii gunyi no sire
if you don't introduce yourself well,kaacham-kaacham suma lo
My stomach is full,ngo kepo hv aku pvku
you are lucky to have special food,no gamdv gvpv bola
"After John the Baptist, the baptism of Jesus, and the testimony about Jesus, those who read these things quickly see the healing and the teaching of Jesus.","Jon Baptist gv lvkwng nga, okv Jisu gv baptisma naanam okv Jisunyi pokayarka kunam, um achukgo kaatamro kochingbv, sum lvknv si Jisu gv mvpuripu nam okv tamsarkinu nama baapubv kaatamyado."
they both got through the tough summer as friends,hvbv rila apu la tav seenv apam gwdww dwrw polo lo seepa
stone is broken,vlw ngv atak ro
I am sorry,ngom hvv laka
apply,pagnam
at someone's village,nyibo gv lvrii lo
Everyone was hungry,nyi gwdw kano pa
Don't speak so fast,bapu bv agam jabyo
Collect the orange seeds,ontra amu hv nakom to
He spoke,bww gaam kopa
Kiss Takar,Takar nyi moopup to
I'm OK,ngo alv do
Paul chose himself to be an apostle (Mark 10:1—13:10),Paul gv nw atu v Apostol gubv mvngging sukunam (10:1—13:10)
you are quick in walking,no vvba do
Should love your sister,Burmv vm aya mabv
I have a red ball,ngo gvlo yalvng nv boli ako dopv
arise,nyilin
Power minister,ilektri ministvr
Don't call the mithun a pig,subu vm erik gubv minyo
you came to hit me,no ngam sebv aado
b. The Pilgrimage to Jerusalem (Luke 15:1-35),b. Jerusalem lo vngkumnam (15:1-35)
On hearing how the elephant saved their lives,svtv gv reera nam vm tvtu kula
Mother's father,ato
If you dare comeback again,lvku na lvku aaku bonyi
He wrote about his faithfulness in Christ and how he should live according to his faith.,Hv ninyigv kristan am mvngchin la mvngjwngnam am okv oguaingbv kristan singkurrikur bv risvdosv vdw um lvktoku.
He gave me his word,bww ngom nw gv gamchar jipa
I am longing to fire at bird,ngo pvta apnwng do
Everybody's talking together,nyi mwlww ngv jabbam
what is the matter?,hugu gu?
Did you play tennis?,no tenis ridv nv ri?
Don't come out here,so aalin yo
I'm weak,ngo gooyu do
Did I embarrass you?,nom ngo hanying bv mvpv nv ri?
tara scolded yapa in angry,tara yapa nyi rokdar pvvla
Since from the beginning our ancestors always been using this phrase the almighty sun will be watching you whenever someone does bad things to others,Kullu lokv ngunu gv anvabu-abuapa ngv rimor-mimor rinyi NA DONYI NV TV KAARIA LAKV hvla Donyi tolo lubu tvcha do
wishing for the eraly recovery,ainbv poya laku ka
you come downward,no lvkwng bv ito
Takar is manly,Takar myakdum-myaklo do
what to do if you have eaten,no dvku lo hugu mvdu kubv
Winter season,dwra polo
"Luke, who called Jesus by the Spirit of the Lord and called him “the good news for the poor,” writes and proclaims that everyone who has anything to do with this gospel must do so.","Luk Jisunyi Dvbv gv Dow lokv goklinla “heemanv vdwa alvnv yunying gvvjinv gubv,” minla lvkgapla vvpvvdu okv nyi vdwgv dinchinam mvnwng nga so Gamlv soka doolwk dunv vla lvklin jipv ."
the stick is broken,vsi daangv atar ro
let tara complete his speech,tara nyi agam raao mo tho
are you Taro?,no taro da?
if it happens like the moon,polo gobv ribo lo
arose,gurap
sharpen the stick,seekio nga niki tho
Everyone's watching,nyi gwdw ngv kaado
You sleep at night,no aryum nyi yupdo
may you be infested with maggots,Nam Tapum pvvla kv
mithun was killed by tara himself,subu anga tara minsu
group of people came,nyii nyitwng gu aapv
add here more money,so morko lo mvpwng tho
tara you stand here,tara no so dakto
Don't ever cross me,ngom lvku ka korbo mabv de
come down to the grounf from house,naam naako bolo ito
I'll help,ngo mvdor re
Do you love him too?,no bww vm pakdo?
I am buying a bus ticket,ngo bus ticket twwdo
Excuse me I'm lost,tvrya to ngo ngepv ku
Don't speak so fast,bapu bv agam jabma bv ka
Whose man did come here?,Hvyv nyi v so aado?
"After Jesus had been crucified, some of his words and his glory were written.",Jisu gv doobam namamla ninyia takki madvbv ninyigv minpvripv okv mintv hartv jinam a mego lvkpv.
Don't come after me,Ngo kokww aayo
Takar is clever,Takar hardv do
Everybody's worried,nyi mwlww ngv mwwru pa
Don't do this again,sim rikor yo
Am I fat?,ngo abv do?
Riumching and Riumdo woke up after three days of their creation and tried exploring all the spaces around them,Riumching nv Riumdo bunyi yarlin lokv alu loum lo goorap laku la chenggo-dogo dooku kaaku madu bv ritv tvto
do not jump up and down,chomdung chombup mabv ki
Humpty Dumpty had a great fall.,Hampti Dampti ngv ichchi bv hoolu toku.
"He said these things so that they would serve God, and so that they would be able to work in the company of the brothers and sisters in the ministry of the gospel.","Hv vkvnv mintukmilv go laalinla Pwknvyarnv gvbv riji modubv, kristan gv sorkari lo kudungkua risv okv ajinanying ngaka okv mvngrum aralo mvngkwhingkw minsu dubv minto."
Jesus in the Works of the People (Matthew 2:1—12),Jisu nyi vdwlo ridungripa rikunam (2:1—12:50)
Takar lit the candle with a match,Takar kendvl vm machis lokv baanu pa
group of people,nyii acham gu
old people are also not permanent,nyekam hvu v dobv jima do
It's raining heavily outside.,Agum lo nyi achvlv bv hodo.
We will go,ngunu vvre
"Humpty Dumpty sat on a wall,","Hampti Dampti luuryap lo dooto,"
seventh day,kanw jinv alo
I met Takar while going on a road,lamda lo ngo Taka ney vvdum pa
Are you always busy?,no dumda-tabyar bwwbw do?
then I will become your wings,ngo rire nokv alap bv
Give him my regards,vm ngo gv mwwdv jila ka
I'm early,ngo aaba pa
to set fire,wmw rulwk
corn is not yet mature,radv si ajing pv
one handsome man,nyii kaapu nvvgu
hit the insect again,tapum changa lvku da sechin tho
where is the staircase to go down,igia ngv hugu lo
friend also,ajin ka
arise,guduu
will you take all money,morko nga no naapww dubv hai
Water is wet,isiv jija dv
still eating,dvmwng 
always eating food,achin dvdv la
pork decays early,vrik addin hv yaaba do
Go on Takar drink it,kaju Takar vm tvvto
I jump on one foot,ngo lvpa lvgu lo pokdo
We should listen to our elders,abu achi gv mennam vm tvla ju
taking care of a baby,anga soodo
He bought her a dog,bww nw vm ikki aku rvvji pa
Aren't you students?,no istudent mangv?
He is my elder brother,hv ngo gv abvng v
Go inside,aarw aato
Hit Takar,Takar nyi dvvmto
me only,ngo twk
whose is this?,si hvye gv ngv la?
cultivate toward this side,rongo nga so mvaa tho
I wll come today,selu nyi ngo aare
both brother riabu and sister chungnv,Achi Riabu la Anyi Chungnv bunyi hv
"Yes,I like my nose","vm, ngo ngogv napum vm kaagia do"
there is a seasonal bird in the forest,myotum lo achi-aminv doodu
You're all cowards,nunu mvnww vh piyar do
joining beads with thread,tasii riinam
I am not saying something costly beads,ngo seetv loomin gu minma
I feel the rain,ngo himpa dune nyido nyi
But when we write we write it as Polo,Hvbv rito la gamchar bv yeri nyi POLO hvdo
what are you talking about,no raagam mv hogu gu
You look very good,no achvlv alv bv kaado
He's fast,bww bapu do
stay silent if you can't see,no kaapa nyuji manv choyo do tho
cloth is tight,iji si adak do
Stop it,vm mvtor to
I say goodbye,No aleh be ela kuke
awesome,alv do
Grandfather is calling you,Ato na mindo
Everyone was killed,nyi mwlww ngvm mvki ro
Call the men,Nyi a gokto
You were in a coma,no sili taptvla dooto
that house is collapsing,naam v tapdu
inquire the person who have taken the dao,Oryok naanv ngam hwkar tho
Husband,nyilo
hit the Dao on stronger object,Oryok pakam
