English,Nagamese
British dominance weakened amid rising Indian nationalism.,"British hukumat dubla hoise, India laga nationalism urise manu khan pora."
Indian self-governance aspirations grew against British colonialism.,"British raj ke against te, India pora nijor hukum chala bolebi etu icha dangor hoise."
Britain's grip on India loosened amid global geopolitical shifts.,Britain-or India-te pakori global hila-juli khan pora komti hoise.
"Post-World War II, India moved towards independence.","World War II hobise piche, India toh azaad hobo nimete agey bhori thakise."
The British Raj eventually yielded to Indian sovereignty in 1947.,"Aakhir mein, British Raj toh 1947 te India hukumot ke niche aahishe."
Doctrine of law: Legal principles forming the foundation of jurisprudence.,Law laga doctrine: Iku toh jurisprudence nimite foundation banaishe.
Maurya Empire emerged around 322 BCE in ancient India.,Maurya Empire toh purana India te 322 BCE manuhi pora shuru hoise.
Chandragupta Maurya founded the Mauryan Empire.,Chandragupta Maurya Mauryan Empire toiri kurishe.
Ashoka the Great expanded the Mauryan Empire to its zenith.,Ashoka the Great toh Mauryan Empire ke pura world jaanise dangor kori dise.
The Mauryan Empire encompassed much of the Indian subcontinent.,Morya raj India laga sob territory te melikena thakise.
Ashoka embraced Buddhism and propagated it across his empire.,Ashoka toh Buddhism ke apnaise aru pura rajyo te phaila dise.
Ashoka's edicts spread moral and ethical principles throughout India.,Ashoka ke hukum pora India te bhal kaam aru dharam usob phaila dise.
The Mauryan Empire had a highly centralized administration.,Maurya rajot toh ekdom power thaka administration chalaise.
Ashoka's reign is known for its pillars and rock inscriptions.,Ashoka rajatta toh thik ase etu pillar aru rock inscription khan nimite jana hoi.
"Mauryan economy thrived on agriculture, trade, and taxation.","Maurya manu bisi crops, bepari aru tax pora dhun kaam kurishe."
Ashoka's Dhamma policy promoted religious tolerance and social welfare.,Ashoka laga Dhamma niti toh dharam bishwas khan ke samman dikhaishe aaru samaj homaj khan ke bhal kori bole promis korishe.
The Mauryan Empire established a vast network of roads and infrastructure.,Maurya raj-e toh dangor rasta aru infrastructure bonoikena thakise.
Ashoka's conquest of Kalinga led to his conversion to Buddhism.,"Ashoka Kalinga loi jitise, etu nimite taikhan Buddhism mani bole shuru korise."
Mauryan art and architecture flourished under Ashoka's patronage.,Mauryan khanar kaam aru building Ashoka laga support te bahut bhal hoise.
The Mauryan Empire declined after Ashoka's death due to internal strife.,Ashoka mori jaowa pichet Mauryan Empire toh bhitor logote lora-jhogra kori thaki bohut homoi dukh paiche.
Mauryan society was organized into varnas and jatis.,Mauryan khanadaan toh varnas aur jatis hisaab se chalaisil thaka.
Ashoka's missionaries spread Buddhism to distant lands like Sri Lanka.,Ashoka manu khan Buddhism ke Sri Lanka nisina dur jagah te bhi pathaisele.
The Mauryan Empire's capital was initially Pataliputra (modern-day Patna).,Mauryan Empire laga capital toh first time Pataliputra thakise (etu toh aji-kali Patna ase).
"Ashoka's reign saw advancements in medicine, education, and art.","Ashoka raj toh medicine, porha-lhekha aru art-ok bohut agei loijaisille."
Mauryan rulers used an extensive spy network for governance and security.,Maurya raja khan etu sorkar chalaibole aro security nimite bishi manu laga jasus network use kurisey.
Ashoka's pillars served as markers for his edicts and teachings.,"Ashoka laga pillar khan toh, taikhan laga hukum aro sikhai dikhai thakibi nimite banaishe."
"Mauryan art depicted royal court scenes, religious motifs, and animals.","Ashoka pillar khan, etu taikhan laga hukum aro sikhai dikhai thakibole banaise."
The Mauryan Empire faced threats from Greek invaders like Seleucus Nicator.,Maurya raj aru Seleucus Nicator nisina jun Greek manu ase thik khan pora darr thakibo lagise.
Ashoka's policy of Dhamma promoted social justice and compassion.,Ashoka-a Dhamma niti social justice ar daya dekhaisi.
The Mauryan Empire declined after the death of Ashoka's successors.,Ashoka laga pichede thaka manu khan mori jowar pichede Mauryan Empire komzhor hoi goishe.
"Mauryan trade flourished with regions like Greece, Persia, and China.","Maurya manu khan Greece, Persia aru China nisina jaga khan logote dhanda bhal lagise."
Ashoka's reign is remembered for its emphasis on moral governance.,Ashoka raj toh moral niyom thaka government cholaise bolikena jana jae.
"Mauryan architecture featured stupa complexes, palaces, and pillars.","Maurya time-te stupa complex, raja ghor aru pillar khan thakise."
The Mauryan Empire's decline led to the rise of regional kingdoms.,"Maurya raj cholijowa khan, etu regional kingdom khan urise."
Ashoka's Rock Edicts provided insights into his governance principles.,"Ashoka laga pathorke likha edicts khan, taikhan laga hukumat choluwa niyom kanun dikhai dise."
"Mauryan society had a hierarchical structure with kings, nobles, and commoners.","Maurya khanadaan toh raja, bhalu manuh aru public thaka ekta nichina sreni hisaab te chalaishey."
Ashoka's conversion to Buddhism led to the spread of the faith.,"Ashoka Buddhism loi poriborton huwa toh, iman dhorom charidi khelai di thakise."
"The Mauryan Empire's military employed infantry, cavalry, and elephants.","Mouryajan Empire sena khan infantry, ghora aru hathi use kurisey."
Mauryan rulers issued coins with symbols like the lion and bull.,"Murya raja khan manu boisa khan te, hathir aru bal gari nisina chinha thaka poisa uliyaise."
Ashoka's reign saw the promotion of welfare policies and hospitals.,Ashoka raj toh proja khanek bhal porichalona aru hospital bonaisey.
Mauryan culture assimilated diverse influences from across the empire.,Mauryan culture toh pura empire bhar pora alag alag chij milai kene ekta culture banaisey.
Ashoka's Ashokavadana chronicles his life and deeds as a Buddhist ruler.,"Ashoka's Ashokavadana kitab toh, etu Buddhist raja hisaab te, taar life aru kaam khan likhi ase."
The Mauryan Empire's decline saw the disintegration of central authority.,"Mauryan Empire burha hoi jowa পিছত, central hukumat tuti phuti goisey."
"Mauryan society practiced agriculture, trade, and craftsmanship.","Mauryan khan manu crops bonaisil aar trade bhi kurisil, kaam bhi banai thakisil."
Ashoka's reign marked a shift towards non-violence and peace.,"Ashoka raja thakurni time toh, maar-dhar nokora aru shanti rasta te gusi jaise."
Mauryan rulers maintained diplomatic relations with neighboring kingdoms.,Mauryan raja khan manu khan logote mel rakhishe aro asol asoli kingdom para bhi.
Ashoka's message of peace and tolerance influenced subsequent rulers.,Ashoka ke shanti aru tolerance ke kotha khan piche wala raja khan ke upar bisi asor porise.
The Mauryan Empire's decline resulted from succession disputes and invasions.,Mauryan Empire sorkar khan laga piche piche te problem aru dushmun ahibole pora durbol hoise.
"Mauryan art reflected religious themes, with Buddhist motifs prevalent.","Mauryan art toh sob religious manu khan nimite banaishey, besi Buddhist laga design dikhiboley paishey."
Ashoka's policy of Dhamma influenced governance and ethics.,Ashoka Dhamma nini governance aru ethics khan upor te asor korise.
"Mauryan cities were centers of trade, administration, and culture.",Maurya shahar khan toh business laga aro sarkari kaam laga aro culture laga bhi jagah thakise.
"Ashoka's rock inscriptions were written in Prakrit, Greek, and Aramaic.","Ashoka manu likha pathorkhan khan Prakrit, Greek aru Aramaic te likhise."
The Mauryan Empire's decline saw the rise of regional dynasties.,"Mourya rajatta khan jurai jowa pisot, alag alag jagah te raja khan uthi ahise."
Mauryan rulers constructed reservoirs and irrigation systems for agriculture.,"Mourya rajatta khan jurai jowa pisot, alag alag jagah te raja khan uthi ahise."
Ashoka's missionaries spread Buddhism to regions like Central Asia and Southeast Asia.,Ashoka manu porchar khan Central Asia aru Southeast Asia nisina jaga te Buddhism porchar kurishey.
"Mauryan society practiced religious pluralism, with Buddhism, Jainism, and Hinduism coexisting.","Mourya rajot te Buddhism, Jainism, Hindu dharam khan log ek logote mili jili ase."
Ashoka's patronage of Buddhism led to the construction of monasteries and stupas.,Ashoka raja Buddhism ke support korikena monastery aru stupa khan bonaishe.
The Mauryan Empire's decline led to the fragmentation of political power.,"Mauryan Empire kamzui pichede, rajnitik shokti bhangibhuri hoi goise."
Mauryan rulers issued inscribed edicts to communicate laws and policies.,"Maurya raja khan etu likha hukum jari kurishe, tai khanun aru niyom janabo nimite."
Ashoka's policy of Dhamma aimed to promote social harmony and welfare.,Ashoka Dhamma laga niyom toh samajot shanti aru bhal kaam koribole nimite ase.
Mauryan rulers maintained a powerful standing army for defense and conquest.,"Maurya raja khan etu sena dangor powerful thakishe, taiyar thakishe hamesha dusman ke harabo nimite."
Ashoka's Rock Edicts were inscribed on natural rock formations across the empire.,Ashoka laga rock edicts khan pura empire bharot te natural rock formations uporte likhi thishey.
The Mauryan Empire's decline resulted from economic stagnation and administrative inefficiency.,Maurya raj khorab huwa ke economic thanda hoise aur administration bhibi bhal nai thakise.
"Mauryan architecture incorporated elements of Indian, Persian, and Greek styles.","Mauryan time-te architecture khan Indian, Persian aro Greek style laga mix-up thakise."
Ashoka's reign saw the establishment of hospitals and medical facilities.,Ashoka raja thakurtey time-tey hospital aru medicine jaga-buga bonaisey.
"Mauryan society valued education, with universities and centers of learning.","Maurya manu khan toh education ke bhot value dikhaise, university aru learning center khan thakishe."
Ashoka's conversion to Buddhism transformed his approach to governance.,"Ashoka Buddhism-te convert hoise, etu pora taikhan government chola-mela bhi bodli dise."
The Mauryan Empire's decline led to the rise of regional kings and chieftains.,"Maurya raj khtom huwa toh, alag alag jagah raja aru dada log power te ahise."
Mauryan rulers promoted trade and commerce through improved infrastructure.,"Mauryan raja khan etu business aaru bepar ke bhal banaishe roads, bridges bonaikena."
Ashoka's policy of Dhamma emphasized ethical conduct and social welfare.,Ashoka laga Dhamma niti toh bhal kaam aru society nimite sewa te jor dise.
"Mauryan art included sculpture, pottery, and painting depicting religious themes.","Mouryabur manu khan keleuwa art te murti, mati barton aru painting thakise jun khan dharmik kotha koi."
The Mauryan Empire's decline led to the emergence of independent kingdoms.,"Mauryan Empire ta weak hoijai manu, alag alag raja manu nikili ahise."
Ashoka's reign saw the spread of Buddhism to distant regions through missionaries.,Ashoka r rajatta toh dur porjonto missionaries khan dwara Buddhism phalaisae.
Mauryan rulers organized society into administrative units for governance.,Mauryan raja khan manu society ke chalaiboley administrative unit hisaab te organize kurisey.
Ashoka's Rock Edicts provided insights into his moral and ethical teachings.,Ashoka laga Rock Edicts khan pora taikhan laga naiti aaru dharma bishoytey shiksha dikhai dey.
The Mauryan Empire's decline resulted from external invasions and internal unrest.,"Maurya raj khorak toh, bahar pora dushman ahibi thakise aru bhitor majot bhi shanti nasto hoise etu karone hoise."
"Mauryan architecture showcased grandeur in palaces, temples, and stupas.","Morya manu khanitu raja ghor, mondir aru stupa khan bisi dangor dikhai ase."
Ashoka's reign witnessed the promotion of social welfare and religious tolerance.,Ashoka rajatta te social kaam aru dharmo khan ke respect dikhaise.
Mauryan rulers implemented irrigation projects to enhance agricultural productivity.,Mauryan raja khan pani bonuwa kaam kori kheti kaam aru bhal koriboley.
Ashoka's conversion to Buddhism influenced his policies and governance style.,"Ashoka toh Buddhism loi poriborton huwa pichede, etu uske policy aru hukum chala process te asor porise."
The Mauryan Empire's decline led to political fragmentation and regional autonomy.,Mauryan Empire dur pora political toh bhangi goise aro regional hissa te alag alag raja hoise.
"Mauryan society practiced religious syncretism, with diverse faiths coexisting.","Mouryabur khan manu khan alag alag dhorom ek logote thaki ase, kunta dhorom bisi bhal koi kena milijuli thaki ase."
Ashoka's pillars and rock inscriptions conveyed moral and ethical principles.,"Ashoka pillar aru rock inscription khan, manu khan ke mora aru bhal niyam pathaishe."
The Mauryan Empire's decline saw the emergence of new centers of power.,"Maurya raj dim jaopichhe, nawa nawa power thakurbila ahise."
Mauryan rulers encouraged trade and commerce through favorable policies.,Maurya raja khan etu trade aru business khan bhal policies thakise nimite encourage kurishe.
"Ashoka's policy of Dhamma promoted peace, justice, and social harmony.","Ashoka-a Dhamma niti shanti, insaf aru society milijuli thakibo nimite madad korise."
The Mughal Empire rose in 1526 under Babur's leadership.,Mughal Empire toh 1526 te Babur thakileh time-te start hoise.
Akbar expanded the empire through military conquests and strategic alliances.,Akbar thaki sena laga judh aru milijuli plan banaikena rajyo to dangor korise.
"Akbar's reign marked cultural and religious tolerance, fostering unity.","Akbar rajot, culture aru dharam usor pora ekta thaki bole dikhai dise, aru ekta hobo nimite madad korise."
"Jahangir's era saw advancements in art, literature, and architecture.","Jahangir time-te art, kitab patha aru building khan bhal hoise."
Shah Jahan commissioned iconic monuments like the Taj Mahal.,Shah Jahan etu Taj Mahal nisina famous monument khan bonuwaisile.
Aurangzeb's rule faced challenges due to religious intolerance and rebellion.,"Aurangzeb raj chalaiboley time-te, dharam nimitey gondogil aru birodh dikha dise."
The decline of the Mughal Empire began in Aurangzeb's later years.,Mughal Empire khanpani Aurangzeb thakurni pichede komti hoi jaise.
Weak successors and external invasions hastened the empire's disintegration.,"Durbol raja aru bahar pora akraman korikena, etu rajya tuta tuta hoi joldi khotom hoigol."
The British East India Company capitalized on Mughal decline for control.,British East India Company toh Mughal khanadaan d durbal hoise nimite faida uthaikena control korise.
"The last Mughal emperor, Bahadur Shah II, was deposed in 1857.","Last Mughal badshah, Bahadur Shah II, ke 1857 te hataidise."
Mughal legacy includes architectural marvels and rich cultural contributions.,Mughal khan manu bana building aru culture toh bisi dangor kaam kori thise.
The Mughals introduced Persianate culture and centralized administration in India.,Mughal khan log India te Persian culture aru centralized administration shuru kurishe.
Babur's victory at Panipat laid the foundation of Mughal dominance.,Panipat te Babur jita pisot Mughal khanadaan raj suru hoise.
Akbar's policy of sulh-i-kul promoted religious harmony and social integration.,"Akbar toh sulh-i-kul niyom banaishe, etu homman aru ek log te thakibo nimite sob dhorom khan ke encourage kurishe."
Shah Jahan's reign is known for its opulence and grandeur.,"Shah Jahan thakurni laga rajot, etu toh dangor dhun aru shaan shaukat nimite jana jae."
Aurangzeb's reign was marked by territorial expansion but also religious intolerance.,"Aurangzeb raj toh territory ol pora barese, kintu religion manu khan ke homan nhoi koi thakise."
The empire's administration was based on a system of mansabdari.,Empire khanadaan chala-wala system toh mansabdari upar te depend kori aseel.
"The Mughals were patrons of art, literature, and music.","Mughal khan khan manu khan khan toh art, kitaab aru music sob bhal paishe."
The decline of the Mughal Empire led to regional fragmentation and conflicts.,"Mughal Empire duba khan manu, jaga jaga te bhag hoi jowa aru maramari huru hoise."
Maratha and Sikh states emerged as significant challengers to Mughal authority.,Maratha aru Sikh rajyo khan Mughal hukumot laga birudhe dangor challenge dise.
The Mughal Empire reached its territorial zenith under Aurangzeb's rule.,"Aurangzeb thakurbura raj chala time-te, Mughal Empire territory sobse bishi dur tak poisa thakise."
The Mughals established a complex revenue system known as zabt.,"Zabt"" naam ek joti complicated revenue system Mughal khan log shuru korise"
Mughal emperors married into Rajput and Persian royal families for alliances.,Mughal raja khan dan pora Rajput aru Persian raja khan dan logote biya kori alliance bonaishe.
The Mughal emperors wielded absolute authority but faced court intrigue.,"Mughal badshah khan khan dangor power thakisele, kintu court bhitor ploting toh asile."
The Mughal Empire's decline paved the way for British colonial dominance.,"Mughal raj khotom huwa, etu British company ke rasta bonai dise desh cholabo laga."
Bahadur Shah II's involvement in the Indian Rebellion marked the end.,Bahadur Shah II laga Indian Rebellion te thaka toh shesh hoi gise.
"Mughal architecture blended Persian, Islamic, and Indian styles.","Mughal-khanar architecture-te Persian laga, Islamic laga aro Indian style mix kori ase."
Mughal miniature paintings flourished depicting court scenes and landscapes.,Mughal manu painting khan raja court aaru landscape dikhai kene bohut dhoom dham se chalishe.
Mughal gardens like Shalimar Bagh and Nishat Bagh reflected paradise symbolism.,Shalimar Bagh aro Nishat Bagh nisina Mughal garden khan paradise ase koi kene koise.
"The Mughals patronized scholars, poets, and musicians like Tansen and Mir Taqi Mir.","Mughal khan manu Tansen aru Mir Taqi Mir nisina dangor manu khan ke husi kori thakisey, jinebukaar, kobita likha manu, aru music baja manu."
"Mughal cuisine, influenced by Persian and Indian flavors, included dishes like biryani.","Mughal khanabana, Persian aru Indian khanabana mili kene banaishe, biryani nisina dishes thakise."
