English,Kokborok
"And he said, “I am the God of your father, the God of Abraham, the God of Isaac, and the God of Jacob.” And Moses hid his face, for he was afraid to look at God.","Bo hai hwnwi sa kha, “Ang nwphani Kaitor, Abrahamni Kaitor, Isakni Kaitor tei Jakobni Kaitor.” Hakhe Musi Kaitorno naisikna kiriui mwkhang kholop kha."
"Then the Lord said, “I have seen the affliction of my people who are in Egypt, and have heard their cry because of their taskmasters; I know their sufferings,","Hakhe Subraiyung hai hwnwi sa kha, “Ang ha Ijibo tongnai ani bororok sátokjakmano nuk kha, bórokni samung tang rwnairok bai sátokjagwi kap laimano khna kha. Ang bórokni tektono si-o."
"and I have come down to deliver them out of the hand of the Egyptians, and to bring them up out of that land to a good and broad land, a land flowing with milk and honey, to the place of the Canaanites, the Hittites, the Amorites, the Perizzites, the Hivites, and the Jebusites.","Ang bórokno ha Ijipni bororokni yakni phiyókna bagwi ongkhorwi phai kha. Tei a hani tikhlaiwi kaham tei kuaro, dut tei piya bwtwi kochokjak ha-o tlangnai. Kanansarok, Hitisarok, Amorsarok Peressarok, Hibisarok tei Jebussarokni ha-o tlangnai."
"And now, behold, the cry of the people of Israel has come to me, and I have seen the oppression with which the Egyptians oppress them.","Nai di, tabuk Israil bororok kap laimani ani khunju-o sók phai kha tei Ijipsarok bórokno bahai khe sátok-pitok khlai ang nuk kha."
"Come, I will send you to Pharaoh that you may bring forth my people, the sons of Israel, out of Egypt.”","Phai di, ang nono Pharaoni thani rwi rohornai, nwng ani borok, Israilrokno ha Ijipni tikhlai ma tubunai.”"
"But Moses said to God, “Who am I that I should go to Pharaoh, and bring the sons of Israel out of Egypt?”","Tamo khe Musi Kaitorno hai hwnwi sa kha, “Ang le sabo ba, Pharaoni thani thángwi Israil bororokno Ijipni tikhlai tubunai?”"
"He said, “But I will be with you; and this shall be the sign for you, that I have sent you: when you have brought forth the people out of Egypt, you shall serve God upon this mountain.”","Kaitor hai hwnwi sa kha, “Nwng bororokno Ijipni tikhlai tubu phuru khe ang nwng bai tongnai; tei nwng ano o hathái-o ma surinai, omono ang nono rohormani mari wngnai.”"
"Then Moses said to God, “If I come to the people of Israel and say to them, ‘The God of your fathers has sent me to you,’ and they ask me, ‘What is his name?’ what shall I say to them?”","Hakhe Musi Kaitorno sẃng kha, Israilrokni aro sógwiwi sa phuru khe, norokni chuchusongni Kaitor se ano rohoro hwnwi sa khe tei bórok ano bini bumung tamo hwnwi sẃng khe, bórokno ang tamo hwnwi sanai?"
"God said to Moses, “I AM WHO I AM.” And he said, “Say this to the people of Israel, ‘I AM has sent me to you.’ ”","Kaitor Musino hai hwnwi sa kha, “Ang ang’-no” bo Musino sa kha, “Ang ang’-no nono rohoro hwnwi Israilrokno saui di.”"
"God also said to Moses, “Say this to the people of Israel, ‘The Lord, the God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob, has sent me to you’: this is my name for ever, and thus I am to be remembered throughout all generations.","Kaitor Musino hai hwnwibo sa kha, “Israilrokno hai hwnwi saui di, ‘Nini chuchusongni Subraiyung Kaitor, Abraham tei Isakni Kaitor, Jakobni Kaitor se norokni thani rwui rohoro, mol brúm brúm ani mung omo hai’-no. Tei omo hai khe bosong mathe bai muitu khlaijak máng tongnai.’ ”"
"Go and gather the elders of Israel together, and say to them, ‘The Lord, the God of your fathers, the God of Abraham, of Isaac, and of Jacob, has appeared to me, saying, “I have observed you and what has been done to you in Egypt;","Israilni tẃiphangrokno thángwi hai hwnwi saui di. “Norokni chuchusongni Subraiyung Kaitor, Abraham, Isak tei Jakobni Kaitor ang bai nukjagwi sa kha tei ang naikhlai nuk kha, Ijiprok norokno tamo khlaiwi tong kha;"
"and I promise that I will bring you up out of the affliction of Egypt, to the land of the Canaanites, the Hittites, the Amorites, the Perizzites, the Hivites, and the Jebusites, a land flowing with milk and honey.” ’","tei ang kók rw kha, ‘Ang norokno Ijiprokni aro sátokjakmani yakni phiyógwi Kanansarokni, Hitisarokni, Amorsarokni, Peressarokni, Hibisarokni tei Jebussarokni ha-o tlangwi thángnai, a ha dut tei piya bwtwi bai kupulung.’ ”"
"And they will hearken to your voice; and you and the elders of Israel shall go to the king of Egypt and say to him, ‘The Lord, the God of the Hebrews, has met with us; and now, we pray you, let us go a three days' journey into the wilderness, that we may sacrifice to the Lord our God.’","“Ani bororok nini samarokno khnanai, hakhe nwng Israilni tẃiphangrok bai Ijipni habugrani thani thángwi hai hwnwi saui di, ‘Hibrurokni Subraiyung Kaitor baithang chwng bai nukjak kha. Tabuk salthamni lama thángwi hasing panthoro chini Subraiyung Kaitorno ratharwi yapharna bagwi chwngno rohor di.’"
I know that the king of Egypt will not let you go unless compelled by a mighty hand.,"Ang saui mano, Ijipni habugra yak kwrak bai khlai rwjak ya khe rohor glak."
So I will stretch out my hand and smite Egypt with all the wonders which I will do in it; after that he will let you go.,Hakhe ang ani yak phologwi Ijipno uanamasingcha bai khe swpraknai. Abo hai ang aro khlainai. Aboni ulo bo norokno yakarwi rohornai.
"And I will give this people favor in the sight of the Egyptians; and when you go, you shall not go empty,","Ang o borokno Ijiprokni thani khá phur rwnai, norok tháng phuru khe bukcha tháng glak."
"but each woman shall ask of her neighbor, and of her who sojourns in her house, jewelry of silver and of gold, and clothing, and you shall put them on your sons and on your daughters; thus you shall despoil the Egyptians.”","Tamo khe bebak bwrwirokno bórokni nok arini bwrwirokni thani rangchak, rukphai, uakhum, toyarok tei rí-chumrok sanwi na di tei norok sajwk-sajlasongrokno abono kan rwui tẃi di, abo hai khe norok Ijipni borokni rang rírokno tlangwi tháng di.”"
"Then Moses answered, “But behold, they will not believe me or listen to my voice, for they will say, ‘The Lord did not appear to you.’ ”","Hakhe Musi Subraiyungno hai hwnwi sa kha, “Bórok ano poito khlai ya hwn khe eba ani kók khna ya wngwi ‘Subraiyung nwng bai nukjak ya hwnwi sa khe ang tamo khlainai?’ ”"
"The Lord said to him, “What is that in your hand?” He said, “A rod.”","Subraiyung Musino hai hwnwi sẃng kha, “Nini yago tongma abo tamo?”
“Omo raidang se” hwnwi bo sa kha."
"And he said, “Cast it on the ground.” So he cast it on the ground, and it became a serpent; and Moses fled from it.","Subraiyung hai hwnwi sa kha, “Abono ha-o khiklai rw di” hakhe abo chibuk khaui tháng kha; bo aroni khár kha."
"But the Lord said to Moses, “Put out your hand, and take it by the tail”—so he put out his hand and caught it, and it became a rod in his hand—","Tamo khe Subraiyung Musino hai hwnwi sa kha, “Yak phologwi a chibukni khitung rom di” hakhe bo yak phologwi a chibukno rom kha tei a chibuk raidang wngwi tháng phi kha,"
"“that they may believe that the Lord, the God of their fathers, the God of Abraham, the God of Isaac, and the God of Jacob, has appeared to you.”","“Bórokni chuchusongni Kaitor, Abrahamni Kaitor, Isakni Kaitor, Jakobni Kaitor nwng bai nukjakmano poito khlaina bagwi omono khlai di.”"
"Again, the Lord said to him, “Put your hand into your bosom.” And he put his hand into his bosom; and when he took it out, behold, his hand was leprous, as white as snow.","Subraiyung bono hai hwnwibo sa kha, “Nini yakno khaklabo ton di.” Hakhe bo bini yakno khaklabo ton kha; bo khaklapni yak nor kheno nuk kha yak biyadi chájak wngwi kothor kwsap phur tẃi khe phur kha."
"Then God said, “Put your hand back into your bosom.” So he put his hand back into his bosom; and when he took it out, behold, it was restored like the rest of his flesh.","Hakhe Kaitor hai hwnwi sa phi kha, “Nini yakno khaklabo ton phi di.” Bo haino hai khaklabo yak ton phi khua, yak khaklapni nor kheno nuk kha, a yak haino hai hamwi tei kubun bahanrok haino wng phi kha."
"“If they will not believe you,” God said, “or heed the first sign, they may believe the latter sign.","Hakhe Kaitor hai hwnwi sa kha “Bórok nono poito khlai ya hwn khe, swkangni marino sak nang ya hwn khe tei kaisano le poito phano wngwi mano."
"If they will not believe even these two signs or heed your voice, you shall take some water from the Nile and pour it upon the dry ground; and the water which you shall take from the Nile will become blood upon the dry ground.”","Bórok a samung kwnwino poito khlai ya hwno eba nini kókno sak nang ya hwn khe, nwng Nil twimani twi kisa naui hakungo khiklai rw di; nwng a Nil twimani twi naui hakungo khiklaima a twi thẃi khaui thángnai.”"
"But Moses said to the Lord, “Oh, my Lord, I am not eloquent, either heretofore or since thou hast spoken to thy servant; but I am slow of speech and of tongue.”","Tamo khe Musi Subraiyungno hai hwnwi sa kha “O ani Subraiyung ang man glak. Ang yaphangni simino kók kwrwngbo wng ya, nwng ano kók sa phuruni simi tabuk jorabo ang kókbo rwngsa ya kho, ang kók rwng ja ya. Douibo saui man ya, kókbo kwcha-o.”"
"Then the Lord said to him, “Who has made man's mouth? Who makes him dumb, or deaf, or seeing, or blind? Is it not I, the Lord?","Hakhe Subraiyung Musino hai hwnwi sa kha, “Sabo borokni búkhúkno snam? Sabo bono kók man ya khlai, nathong eba mokol nuknai eba mokol phula khlai? Abo ang ya diba?"
"Now therefore go, and I will be with your mouth and teach you what you shall speak.”","Tabuk tháng di, ang nini khugo tongnai tei tamo sana nang phrwngnai.”"
"But he said, “Oh, my Lord, send, I pray, some other person.”","Tamo khe Musi hai hwnwi sa kha, “O Subraiyung, kubun tei khoroksa swkno phano rohor ja di.”"
"Then the anger of the Lord was kindled against Moses and he said, “Is there not Aaron, your brother, the Levite? I know that he can speak well; and behold, he is coming out to meet you, and when he sees you he will be glad in his heart.","Abo bai’-no Subraiyung Musino jolijagwi hai hwnwi sa kha, “Lebisa nini takhuk Aron ba nwng bai baksa kwrwi diba? Ang si-o bo kaham khe kók saui mano, ‘Nai di, bo nwng bai malaina bagwi ongkhorwi phai kha, bo nono nuk kheno khá srangjaknai.’"
"And you shall speak to him and put the words in his mouth; and I will be with your mouth and with his mouth, and will teach you what you shall do.","Nwng bono saui khna rw di, bono kók phrwngwi rw di. Ang nini khugo tei bini khugo khe tongnai tei tamo khlaina nangnai ang norokno phrwngnai."
"He shall speak for you to the people; and he shall be a mouth for you, and you shall be to him as God.","Bo bororokno nini wngwi kók sanai. Bo nini bagwi khukphang wngnai, nwng bini thani Kaitor hai wngnai."
"And you shall take in your hand this rod, with which you shall do the signs.”","Phiya nwng nini yago o raidangno na di, omo bai khe nwng uanamasingcha samung tangnai.”
Musi ha Ijibo kiphilwi phaimani"
"Moses went back to Jethro his father-in-law and said to him, “Let me go back, I pray, to my kinsmen in Egypt and see whether they are still alive.” And Jethro said to Moses, “Go in peace.”","Musi bini bwkra Jethroni thani kiphilwi thángwi hai hwnwi saui kha, “Ano ani jaiti masarok tongma Ijibo kisa thángna bagwi rohor gra di, bórok kwthang da tong bai kho kisa naiwi phai grana.” Hakhe Jethro Musino “Kwchang kwchang khe tháng di hwnwi sa kha.”"
"And the Lord said to Moses in Midian, “Go back to Egypt; for all the men who were seeking your life are dead.”","Midiano tháng phuru-o, Subraiyung Musino hai hwnwi sa kha, “Ijibo kiphilwi tháng di. Nono butharna nainai bororok bebakno thwi bai kha.”"
"So Moses took his wife and his sons and set them on an ass, and went back to the land of Egypt; and in his hand Moses took the rod of God.","Hakhe Musi, bihik tei bwsajlasongno korai chirka saka-o kasa rwui lam rw kha tei Ijibo kiphilwi tháng kha. Musi bini yago a Kaitorni raidangno tẃi kha."
"And the Lord said to Moses, “When you go back to Egypt, see that you do before Pharaoh all the miracles which I have put in your power; but I will harden his heart, so that he will not let the people go.","Haino hai Subraiyung Musino hai hwnwi sa kha, “Nwng Ijibo thángwi sógwi khe, ang nini thani rwmani a suarrok bai Pharaoni bwskango bebak a uanamasingcha samungrokno khlai di. Tamo khe bororokno yakarwi rohor ya khlaina bagwi ang Pharaoni bwkhano kwrak khlainai."
"And you shall say to Pharaoh, ‘Thus says the Lord, Israel is my first-born son,","Hakhe nwng Pharaono saui di, Subraiyung hai hwnwi sa-o, ‘Israil wng kha ani swkang sakra,"
"and I say to you, “Let my son go that he may serve me”; if you refuse to let him go, behold, I will slay your first-born son.’ ”","ang nono sa-o, “Ano surina bagwi ani sajlano rwi rohor di;” Nwng bono rwi rohor ya khe, Ang nini sajla okrano butharnai.’ ”"
At a lodging place on the way the Lord met him and sought to kill him.,Ijibo thángma lama-o kwrẃngsa-o bathak thani Musi Subraiyung bai malai khe Subraiyung bono butharna nai kha.
"Then Zipporah took a flint and cut off her son's foreskin, and touched Moses' feet with it, and said, “Surely you are a bridegroom of blood to me!”","Hakhe Jipora holong kubuk kaisa naui bwsajlani sakur raui rw kha tei Musini yakungo tangwi hai hwnwi sa kha, “Nwng thẃini se ani bwsai!”"
"So he let him alone. Then it was that she said, “You are a bridegroom of blood,” because of the circumcision.","Hakhe bo bono saichung khe yakarwi klang kha: Hakhe bihik hai hwnwi sa kha, sakur ramani tẃi khe “Nwng thẃini se ani bwsai.”"
"The Lord said to Aaron, “Go into the wilderness to meet Moses.” So he went, and met him at the mountain of God and kissed him.","Subraiyung Aronno hai hwnwi dagi kha, “Musi bai malaina bagwi haphar bukcha-o tháng di. ‘Hakhe bo thángwi Kaitorni hathái-o bo bai malaiwi bono motom su kha.’ ”"
"And Moses told Aaron all the words of the Lord with which he had sent him, and all the signs which he had charged him to do.","Hakhe Musi, Subraiyung tamni bagwi bono rohor kha bebakno sa kha tei bebak uanamasingcha samung khlai di hwnwi sajakmaroknobo sa kha."
Then Moses and Aaron went and gathered together all the elders of the people of Israel.,Hakhe Musi bai Aron Israilni bebak chakrarokno kwrẃngsa khe thum kha.
"And Aaron spoke all the words which the Lord had spoken to Moses, and did the signs in the sight of the people.",Musi Subraiyung bai sajakma bebak kókrokno Aronno saui khna rw kha tei bororokni bwskango uanamasingcha samungrokno tangwi phunuk kha.
"And the people believed; and when they heard that the Lord had visited the people of Israel and that he had seen their affliction, they bowed their heads and worshiped.",Hakhe bororok poito khlai lai kha tei Israilrokno Subraiyung naikhlai phi kha tei sátokjakmarok nuk lang kha hwnwi khna kheno bórok khorok bomson lai khulum lai kha.
"Afterward Moses and Aaron went to Pharaoh and said, “Thus says the Lord, the God of Israel, ‘Let my people go, that they may hold a feast to me in the wilderness.’ ”","Aboni ulo khe Musi bai Aron Pharaoni thani thángwi hai hwnwi sa kha, “Israilni Subraiyung Kaitor hai hwnwi sa-o, ‘Ani bororokno rwi rohor di, bórok haphar bukcha-o thángwi ano bajuna bagwi chámung panda khlainai.’ ”"
"But Pharaoh said, “Who is the Lord, that I should heed his voice and let Israel go? I do not know the Lord, and moreover I will not let Israel go.”","Hakhe Pharao hai hwnwi sa kha, “Subraiyung sabo, ang bini kók khnana nangnai tei Israilrokno bo rwi rohorna nangnai? Ang Subraiyungno sini ya tei Israilrokno thángnani rw ya.”"
"Then they said, “The God of the Hebrews has met with us; let us go, we pray, a three days' journey into the wilderness, and sacrifice to the Lord our God, lest he fall upon us with pestilence or with the sword.”","Musi bai Aron hai hwnwi sa kha, “Hibrurokni Kaitor chwng bai malai kha, chwng nono koi ja-o salthamni lama-o thángwi haphar bukcha-o khe chini Subraiyung Kaitorno ratharwi barokna bagwi tháng rw ja di, wng ya khe bo chwngno bemuk hamya bai eba choba bai khe butharnai.”"
"But the king of Egypt said to them, “Moses and Aaron, why do you take the people away from their work? Get to your burdens.”","Tamo khe Ijipni habugra bórokno hai hwnwi sa kha, “Musi bai Aron tamo norok bororokno bórokni samungni tlangna nai lai? Selengrokno samungo rwi bai di.”"
"And Pharaoh said, “Behold, the people of the land are now many and you make them rest from their burdens!”","Pharao sa kha, nai di, norok tabuk báng lai kha, hakhe samungni yakarwi thángna nai lai-o."
"The same day Pharaoh commanded the taskmasters of the people and their foremen,",A salo Pharao bororokno mula tang rwnai bokhorokrokno tei haba sonairokno dagiui hai hwnwi sa kha:
"“You shall no longer give the people straw to make bricks, as heretofore; let them go and gather straw for themselves.",“Tabukni simi norok bórokno it takna bagwi chwkap ta rw si di; bórokno sak sak thángwi bórokni bagwi chwkap thum lai thung.
